,Montag,Dienstag,Mittwoch,Donnerstag,Freitag
07:15-08:45,DEU Post B412,ENG Baldauf B406,EBA Metzold B303,S3 Gentzel B310,S3 Gentzel B403
09:15-10:45,ENG Baldauf B406,EBA Bongartz B411,EBA Bongartz B409,GP Selter B410,S1 Huber B403
11:00-12:30,SP Fernes SP-SCHUB,EBA Metzold B403,GP Selter B410,DEU Post B412,S1 Huber B403
13:10-14:40,GP Selter B410,GP Selter B410,S3 Gentzel B403,EBA Metzold B303,
